epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.213,1.91643,3.54165,1.66333,0.02427,0.60678,0.28706,0.15709,1.57082,3.35835,1.36071,0.000249405,0.000249405,0.000249405
2,211.325,1.69166,2.15587,1.4525,0.72197,0.39897,0.39289,0.22908,1.54886,2.15198,1.29663,0.000490092,0.000490092,0.000490092
3,319.968,1.57979,1.64726,1.39636,0.77549,0.55775,0.56397,0.30719,1.55028,1.52209,1.30567,0.000714919,0.000714919,0.000714919
4,427.67,1.50475,1.45238,1.35233,0.81366,0.65299,0.68786,0.38194,1.45682,1.2477,1.40026,0.000697627,0.000697627,0.000697627
5,545.236,1.47052,1.31915,1.33727,0.7475,0.70999,0.73824,0.4145,1.42242,1.15508,1.41241,0.000673836,0.000673836,0.000673836
6,660.018,1.42203,1.24422,1.30959,0.91059,0.69241,0.78259,0.426,1.4517,1.16417,1.44057,0.000650045,0.000650045,0.000650045
7,780.487,1.42494,1.17788,1.31906,0.79244,0.74667,0.77901,0.43968,1.4054,1.22748,1.31374,0.000626254,0.000626254,0.000626254
8,924.632,1.38099,1.16288,1.29222,0.86505,0.78222,0.81438,0.43452,1.43251,1.16044,1.35728,0.000602463,0.000602463,0.000602463
9,1047.35,1.37727,1.12802,1.29362,0.79771,0.76038,0.79112,0.442,1.40992,1.17769,1.33847,0.000578672,0.000578672,0.000578672
10,1201.82,1.30309,1.05578,1.2707,0.82357,0.7617,0.80451,0.46882,1.29175,0.97889,1.28323,0.000554882,0.000554882,0.000554882
11,1319.48,1.30562,1.03016,1.27034,0.84539,0.78451,0.80384,0.45246,1.31131,0.98394,1.32171,0.000531091,0.000531091,0.000531091
12,1451.36,1.27829,1.01571,1.25258,0.8332,0.79539,0.80998,0.46969,1.34835,0.95282,1.34212,0.0005073,0.0005073,0.0005073
13,1590.57,1.27177,0.97355,1.23838,0.87168,0.81435,0.81437,0.49519,1.20097,0.94244,1.27091,0.000483509,0.000483509,0.000483509
14,1759.74,1.24535,0.95667,1.24726,0.79873,0.80968,0.7844,0.47365,1.29006,0.96915,1.33479,0.000459718,0.000459718,0.000459718
15,1911.15,1.23715,0.94608,1.24013,0.84025,0.78701,0.81775,0.49288,1.24456,0.91992,1.31406,0.000435927,0.000435927,0.000435927
16,2074.79,1.22165,0.92332,1.22272,0.88629,0.77841,0.8182,0.50511,1.17747,0.89143,1.27541,0.000412136,0.000412136,0.000412136
17,2226.96,1.19209,0.88402,1.18472,0.89481,0.80641,0.82981,0.49003,1.22974,0.86348,1.27819,0.000388345,0.000388345,0.000388345
18,2378.01,1.17646,0.88466,1.19892,0.90416,0.81045,0.83421,0.51017,1.18603,0.84453,1.27611,0.000364554,0.000364554,0.000364554
19,2541.27,1.14102,0.85884,1.17884,0.87475,0.81435,0.8309,0.50926,1.19002,0.83069,1.27641,0.000340763,0.000340763,0.000340763
20,2685.39,1.15948,0.85359,1.17854,0.91006,0.81221,0.8349,0.51198,1.22117,0.84899,1.29283,0.000316972,0.000316972,0.000316972
21,2822.06,1.15907,0.86335,1.18816,0.93134,0.81931,0.84182,0.526,1.1729,0.82049,1.27182,0.000293181,0.000293181,0.000293181
22,2977.33,1.09185,0.80714,1.149,0.77366,0.80657,0.82644,0.51971,1.18207,0.82088,1.28,0.00026939,0.00026939,0.00026939
23,3122.83,1.20354,0.98034,1.23779,0.78899,0.80448,0.82512,0.52136,1.19155,0.84896,1.28161,0.000245599,0.000245599,0.000245599
24,3274.61,1.14318,0.89402,1.21061,0.92641,0.8089,0.82717,0.51875,1.1743,0.83453,1.2875,0.000221808,0.000221808,0.000221808
25,3413.2,1.10505,0.88242,1.20241,0.92903,0.80343,0.83692,0.51875,1.15588,0.7946,1.28714,0.000198018,0.000198018,0.000198018
26,3562.35,1.09311,0.86838,1.20171,0.92065,0.81728,0.8395,0.53709,1.13626,0.79331,1.25957,0.000174227,0.000174227,0.000174227
27,3697.43,1.07855,0.84278,1.17816,0.93109,0.8053,0.83722,0.53953,1.13469,0.77527,1.26036,0.000150436,0.000150436,0.000150436
28,3854.59,1.06351,0.83424,1.17218,0.8067,0.81395,0.83875,0.54743,1.13103,0.75589,1.26251,0.000126645,0.000126645,0.000126645
29,4000.77,1.04408,0.81117,1.16596,0.81598,0.8122,0.83401,0.54448,1.11804,0.75254,1.25518,0.000102854,0.000102854,0.000102854
30,4143.67,1.04333,0.80545,1.17044,0.81091,0.81156,0.83569,0.54388,1.12507,0.75139,1.26125,7.90628e-05,7.90628e-05,7.90628e-05
31,4293.34,1.03573,0.79247,1.16318,0.91933,0.81884,0.83622,0.54597,1.12796,0.74186,1.26636,5.52719e-05,5.52719e-05,5.52719e-05
32,4431.41,1.0181,0.7729,1.14003,0.92803,0.81172,0.83757,0.55081,1.11868,0.74036,1.26015,3.14809e-05,3.14809e-05,3.14809e-05
